title,Author,audio_url,Admiration,Amusement,Anger,Compassion,Contempt,Disappointment,Disgust,Fear,Guilt,Hate,Interest,Joy,Pleasure,Answer.Love,Contentment,Answer.Pride,Answer.Regret,Answer.Relief,Answer.Sadness,Answer.Shame,Approve,Reject
The Red Sea,Stephen Edgar,https://media.poetryfoundation.org/uploads/media/default/0001/06/fe97ae3780610779e33305bc3166198d0a764932.mp3,6,8,0,7,0,7,3,2,1,2,0,7,5,6,7,7,2,8,1,3,,
The Red Sea,Stephen Edgar,https://media.poetryfoundation.org/uploads/media/default/0001/06/fe97ae3780610779e33305bc3166198d0a764932.mp3,1,8,7,1,8,8,6,8,7,7,6,7,5,1,7,6,7,1,8,8,,
The Red Sea,Stephen Edgar,https://media.poetryfoundation.org/uploads/media/default/0001/06/fe97ae3780610779e33305bc3166198d0a764932.mp3,3,7,3,4,7,7,6,7,5,4,4,6,5,4,7,6,6,5,2,7,,
Erstwhile Harbinger Auspices,Matthew Zapruder,https://media.poetryfoundation.org/uploads/media/default/0001/08/e7d587384973de3194dcb5a97a7fb7729954299a.mp3,3,6,0,0,0,4,0,0,0,0,0,8,4,5,5,5,0,0,0,0,,
Erstwhile Harbinger Auspices,Matthew Zapruder,https://media.poetryfoundation.org/uploads/media/default/0001/08/e7d587384973de3194dcb5a97a7fb7729954299a.mp3,5,6,2,6,7,5,8,8,8,7,2,4,0,7,0,2,8,5,8,7,,
Erstwhile Harbinger Auspices,Matthew Zapruder,https://media.poetryfoundation.org/uploads/media/default/0001/08/e7d587384973de3194dcb5a97a7fb7729954299a.mp3,7,4,7,3,5,6,6,6,7,4,7,5,5,7,7,4,2,4,5,4,,
Fork,Charles Simic,https://media.poetryfoundation.org/uploads/media/default/0001/06/dc3af5293508cf789dd61f1f880af5244a2d0755.mp3,0,0,1,0,1,0,1,1,1,2,0,2,0,0,0,0,1,0,4,2,,
Fork,Charles Simic,https://media.poetryfoundation.org/uploads/media/default/0001/06/dc3af5293508cf789dd61f1f880af5244a2d0755.mp3,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,,
Fork,Charles Simic,https://media.poetryfoundation.org/uploads/media/default/0001/06/dc3af5293508cf789dd61f1f880af5244a2d0755.mp3,6,9,0,3,0,4,1,1,1,2,0,9,2,3,3,3,1,1,2,2,,
Philosophia Perennis,Anne Waldman,https://media.poetryfoundation.org/uploads/media/default/0001/07/7e9d9461a8edaf3f7301282e69217e962ba29714.mp3,0,7,0,1,0,3,0,0,0,0,0,8,4,0,3,4,0,0,2,0,,
Philosophia Perennis,Anne Waldman,https://media.poetryfoundation.org/uploads/media/default/0001/07/7e9d9461a8edaf3f7301282e69217e962ba29714.mp3,4,6,4,5,5,5,7,3,7,5,7,3,7,7,3,7,3,2,6,6,,
Philosophia Perennis,Anne Waldman,https://media.poetryfoundation.org/uploads/media/default/0001/07/7e9d9461a8edaf3f7301282e69217e962ba29714.mp3,2,8,2,7,1,5,8,2,6,5,1,7,2,0,2,2,6,3,4,5,,
"Wreck and ""rise above""",Eleanor Wilner,https://media.poetryfoundation.org/uploads/media/default/0001/07/cd0493fbde41a4adc0cee951e41e7bcf96dc4929.mp3,5,7,2,5,5,6,3,6,5,5,3,6,6,3,3,2,2,5,7,2,,
"Wreck and ""rise above""",Eleanor Wilner,https://media.poetryfoundation.org/uploads/media/default/0001/07/cd0493fbde41a4adc0cee951e41e7bcf96dc4929.mp3,8,2,0,7,0,8,0,0,0,2,0,9,7,6,7,8,1,8,0,2,,
"Wreck and ""rise above""",Eleanor Wilner,https://media.poetryfoundation.org/uploads/media/default/0001/07/cd0493fbde41a4adc0cee951e41e7bcf96dc4929.mp3,4,1,4,1,2,2,3,4,3,3,3,1,3,3,4,3,1,3,2,1,,
One Home,William E. Stafford,https://media.poetryfoundation.org/uploads/media/default/0001/06/8895d55335f18fb1d4ab34d8e4a35f3ca3edce91.mp3,3,8,2,3,4,4,4,3,3,2,4,8,4,4,4,6,3,4,3,4,,
One Home,William E. Stafford,https://media.poetryfoundation.org/uploads/media/default/0001/06/8895d55335f18fb1d4ab34d8e4a35f3ca3edce91.mp3,3,1,3,3,4,4,1,3,3,2,2,3,3,2,3,1,3,4,1,1,,
One Home,William E. Stafford,https://media.poetryfoundation.org/uploads/media/default/0001/06/8895d55335f18fb1d4ab34d8e4a35f3ca3edce91.mp3,2,1,1,2,2,4,2,1,1,2,1,1,1,2,1,1,2,1,1,1,,
The Dipper,Kathleen Jamie,https://media.poetryfoundation.org/uploads/media/default/0001/06/42795d9932b0ef2076d7124b2b803a0d0c6478f2.mp3,10,10,9,8,9,10,7,6,6,6,10,7,10,10,8,10,5,5,10,10,,
The Dipper,Kathleen Jamie,https://media.poetryfoundation.org/uploads/media/default/0001/06/42795d9932b0ef2076d7124b2b803a0d0c6478f2.mp3,8,8,0,8,2,8,8,2,7,1,0,9,7,8,8,7,2,8,1,0,,
The Dipper,Kathleen Jamie,https://media.poetryfoundation.org/uploads/media/default/0001/06/42795d9932b0ef2076d7124b2b803a0d0c6478f2.mp3,7,8,2,8,2,0,2,3,2,3,1,7,8,7,8,5,1,8,2,2,,
The Icehouse in Summer,Howard Nemerov,https://media.poetryfoundation.org/uploads/media/default/0001/06/d1f26c29a0b59abb979cc9155e75b37d28a93475.mp3,6,9,0,6,1,1,3,3,2,2,0,7,5,4,7,0,2,6,1,3,,
The Icehouse in Summer,Howard Nemerov,https://media.poetryfoundation.org/uploads/media/default/0001/06/d1f26c29a0b59abb979cc9155e75b37d28a93475.mp3,4,0,8,6,3,5,7,4,5,7,3,7,4,6,6,6,4,6,8,6,,
The Icehouse in Summer,Howard Nemerov,https://media.poetryfoundation.org/uploads/media/default/0001/06/d1f26c29a0b59abb979cc9155e75b37d28a93475.mp3,3,1,3,3,4,4,1,3,3,2,2,3,3,2,3,1,3,4,1,1,,
On the Metro,C. K. Williams,https://media.poetryfoundation.org/uploads/media/default/0001/06/66c5a498631072d39b14b1379ed31b13efff7c6b.mp3,1,3,1,1,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,,
On the Metro,C. K. Williams,https://media.poetryfoundation.org/uploads/media/default/0001/06/66c5a498631072d39b14b1379ed31b13efff7c6b.mp3,5,9,1,9,6,8,8,6,6,6,1,7,7,6,8,6,5,7,0,7,,
On the Metro,C. K. Williams,https://media.poetryfoundation.org/uploads/media/default/0001/06/66c5a498631072d39b14b1379ed31b13efff7c6b.mp3,4,2,4,3,3,3,3,1,1,3,3,1,1,3,1,3,1,2,4,2,,
An Old Woman’s Painting,Lynn Emanuel,https://media.poetryfoundation.org/uploads/media/default/0001/07/b6657801ed170670d83e9ea610d5b42e2008ad02.mp3,3,7,3,4,7,7,6,7,5,4,4,6,5,4,7,6,6,5,2,7,,
An Old Woman’s Painting,Lynn Emanuel,https://media.poetryfoundation.org/uploads/media/default/0001/07/b6657801ed170670d83e9ea610d5b42e2008ad02.mp3,3,6,3,2,5,5,6,5,5,5,5,6,6,3,6,3,4,2,2,6,,
An Old Woman’s Painting,Lynn Emanuel,https://media.poetryfoundation.org/uploads/media/default/0001/07/b6657801ed170670d83e9ea610d5b42e2008ad02.mp3,2,7,3,7,4,7,7,7,6,6,1,6,6,2,7,6,6,6,7,7,,
Stranger in Town,Cedar Sigo,https://media.poetryfoundation.org/uploads/media/default/0001/07/102134e115880ca559153ee6138aa6d810f7907b.mp3,1,5,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,,
Stranger in Town,Cedar Sigo,https://media.poetryfoundation.org/uploads/media/default/0001/07/102134e115880ca559153ee6138aa6d810f7907b.mp3,8,3,0,1,0,8,0,0,0,1,0,8,2,7,7,3,1,8,1,0,,
Stranger in Town,Cedar Sigo,https://media.poetryfoundation.org/uploads/media/default/0001/07/102134e115880ca559153ee6138aa6d810f7907b.mp3,3,7,3,4,7,7,6,7,5,4,4,6,5,4,7,6,6,5,2,7,,
The Freaks at Spurgin Road Field,Richard Hugo,https://media.poetryfoundation.org/uploads/media/default/0001/07/a666bfdd4521f33962e70f7e26400cb38b0886b3.mp3,3,7,3,4,7,7,6,7,5,4,4,6,5,4,7,6,6,5,2,7,,
The Freaks at Spurgin Road Field,Richard Hugo,https://media.poetryfoundation.org/uploads/media/default/0001/07/a666bfdd4521f33962e70f7e26400cb38b0886b3.mp3,0,9,6,0,5,0,8,3,6,8,5,9,0,0,0,0,9,0,8,9,,
The Freaks at Spurgin Road Field,Richard Hugo,https://media.poetryfoundation.org/uploads/media/default/0001/07/a666bfdd4521f33962e70f7e26400cb38b0886b3.mp3,5,6,6,2,6,5,4,4,3,7,3,8,2,2,2,2,8,2,6,6,,
sorrows,Lucille Clifton,https://media.poetryfoundation.org/uploads/media/default/0001/07/7bf5622a0a0475bcf7c8a1fc0f654ad579dfc5b2.mp3,8,8,0,1,0,8,1,1,1,2,0,7,0,8,9,8,2,8,3,2,,
sorrows,Lucille Clifton,https://media.poetryfoundation.org/uploads/media/default/0001/07/7bf5622a0a0475bcf7c8a1fc0f654ad579dfc5b2.mp3,3,7,3,4,7,7,6,7,5,4,4,6,5,4,7,6,6,5,2,7,,
sorrows,Lucille Clifton,https://media.poetryfoundation.org/uploads/media/default/0001/07/7bf5622a0a0475bcf7c8a1fc0f654ad579dfc5b2.mp3,2,2,3,4,7,2,8,8,7,7,3,6,2,2,2,2,6,2,8,6,,
Everything Good between Men and Women,C. D. Wright,https://media.poetryfoundation.org/uploads/media/default/0001/06/b08a6a2d4f11c98ee26e4ba3a568f23a19329152.mp3,0,0,0,1,8,7,8,8,7,5,6,5,0,0,0,0,7,0,1,8,,
Everything Good between Men and Women,C. D. Wright,https://media.poetryfoundation.org/uploads/media/default/0001/06/b08a6a2d4f11c98ee26e4ba3a568f23a19329152.mp3,10,10,9,10,7,10,6,5,5,8,10,9,6,10,7,9,6,10,10,6,,
Everything Good between Men and Women,C. D. Wright,https://media.poetryfoundation.org/uploads/media/default/0001/06/b08a6a2d4f11c98ee26e4ba3a568f23a19329152.mp3,6,7,0,6,0,4,1,0,2,0,0,7,5,8,5,4,0,6,4,0,,
Kind of Blue,Lynn Powell,https://media.poetryfoundation.org/uploads/media/default/0001/07/42367ef1b3467b440fc90725478b50452f2f7e59.mp3,7,3,0,2,0,3,0,0,0,2,0,4,4,7,3,5,0,2,2,0,,
Kind of Blue,Lynn Powell,https://media.poetryfoundation.org/uploads/media/default/0001/07/42367ef1b3467b440fc90725478b50452f2f7e59.mp3,7,6,1,5,7,8,8,6,8,6,1,7,2,6,5,2,6,2,7,8,,
Kind of Blue,Lynn Powell,https://media.poetryfoundation.org/uploads/media/default/0001/07/42367ef1b3467b440fc90725478b50452f2f7e59.mp3,2,4,2,6,5,5,7,3,4,6,4,3,6,4,4,7,5,4,7,7,,
My Last Duchess,Robert Browning,https://media.poetryfoundation.org/uploads/media/default/0001/05/c7166d8f539d5d046da2ad3d578297cc750dc35e.mp3,7,2,7,4,6,6,4,7,6,5,5,4,6,5,7,4,4,7,3,2,,
My Last Duchess,Robert Browning,https://media.poetryfoundation.org/uploads/media/default/0001/05/c7166d8f539d5d046da2ad3d578297cc750dc35e.mp3,9,2,0,10,0,9,0,0,0,0,0,8,9,9,9,9,1,3,7,0,,
My Last Duchess,Robert Browning,https://media.poetryfoundation.org/uploads/media/default/0001/05/c7166d8f539d5d046da2ad3d578297cc750dc35e.mp3,4,8,5,6,8,2,7,3,1,1,5,5,4,2,7,2,6,3,4,5,,
Rue,Samuel Menashe,https://media.poetryfoundation.org/uploads/media/default/0001/07/c0178fb2408d67cc2ea1a883b427d9035cb556a5.mp3,5,3,3,4,4,6,4,5,6,4,5,3,1,5,4,2,3,5,5,5,,
Rue,Samuel Menashe,https://media.poetryfoundation.org/uploads/media/default/0001/07/c0178fb2408d67cc2ea1a883b427d9035cb556a5.mp3,0,0,7,5,7,0,8,9,8,8,6,6,0,0,0,0,7,5,8,8,,
Rue,Samuel Menashe,https://media.poetryfoundation.org/uploads/media/default/0001/07/c0178fb2408d67cc2ea1a883b427d9035cb556a5.mp3,2,7,2,6,5,5,7,3,4,6,4,5,4,4,3,7,5,4,7,7,,
Le Nombre Des Ombres,Andrew Joron,https://media.poetryfoundation.org/uploads/media/default/0001/07/4df7cdabec4aae228855ac0d14f1dd1767f2cd1d.mp3,2,8,3,4,8,2,7,8,6,7,4,6,2,3,2,1,7,2,7,8,,
Le Nombre Des Ombres,Andrew Joron,https://media.poetryfoundation.org/uploads/media/default/0001/07/4df7cdabec4aae228855ac0d14f1dd1767f2cd1d.mp3,4,5,0,0,0,5,0,0,0,1,0,4,3,4,5,6,1,1,0,0,,
Le Nombre Des Ombres,Andrew Joron,https://media.poetryfoundation.org/uploads/media/default/0001/07/4df7cdabec4aae228855ac0d14f1dd1767f2cd1d.mp3,4,7,4,7,4,4,4,5,3,5,2,7,3,2,5,4,7,6,6,7,,
The Blue Booby,James Tate,https://media.poetryfoundation.org/uploads/media/default/0001/06/46e124486790bd44841424790c7d5d57a0142a3c.mp3,4,5,4,4,5,7,7,6,6,4,5,4,3,7,4,7,7,3,4,5,,
The Blue Booby,James Tate,https://media.poetryfoundation.org/uploads/media/default/0001/06/46e124486790bd44841424790c7d5d57a0142a3c.mp3,8,9,1,7,5,8,2,0,0,0,1,8,8,8,9,5,4,2,0,2,,
The Blue Booby,James Tate,https://media.poetryfoundation.org/uploads/media/default/0001/06/46e124486790bd44841424790c7d5d57a0142a3c.mp3,3,2,0,1,2,8,0,0,1,3,0,5,8,4,7,9,1,1,2,1,,
Petersen: Kleichen and a Man,George Szirtes,https://media.poetryfoundation.org/uploads/media/default/0001/06/771929cd851ffd54e3e717a5c3985f76105ab63f.mp3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,
Petersen: Kleichen and a Man,George Szirtes,https://media.poetryfoundation.org/uploads/media/default/0001/06/771929cd851ffd54e3e717a5c3985f76105ab63f.mp3,10,6,6,5,5,7,7,6,9,8,4,9,10,9,7,8,8,8,6,4,,
Petersen: Kleichen and a Man,George Szirtes,https://media.poetryfoundation.org/uploads/media/default/0001/06/771929cd851ffd54e3e717a5c3985f76105ab63f.mp3,5,5,0,5,0,4,0,0,0,0,0,7,6,7,6,6,0,6,0,0,,
Life of Savage,Vijay Seshadri,https://media.poetryfoundation.org/uploads/media/default/0001/07/8a258056f6b08c7e161406fdc303b3403da7bbd0.mp3,2,6,2,6,8,8,8,6,4,2,6,6,4,6,6,8,6,4,2,6,,
Life of Savage,Vijay Seshadri,https://media.poetryfoundation.org/uploads/media/default/0001/07/8a258056f6b08c7e161406fdc303b3403da7bbd0.mp3,0,6,7,6,9,6,9,9,6,8,6,5,0,0,0,0,8,0,7,8,,
Life of Savage,Vijay Seshadri,https://media.poetryfoundation.org/uploads/media/default/0001/07/8a258056f6b08c7e161406fdc303b3403da7bbd0.mp3,4,8,1,2,1,2,2,2,3,2,2,8,4,5,2,6,2,2,1,2,,
Unromantic Love,J. V. Cunningham,https://media.poetryfoundation.org/uploads/media/default/0001/06/0879daadcd6fa27ba2ff00b509d2bda81455b10a.mp3,4,8,0,0,0,6,0,0,0,0,0,8,6,6,6,1,0,5,0,0,,
Unromantic Love,J. V. Cunningham,https://media.poetryfoundation.org/uploads/media/default/0001/06/0879daadcd6fa27ba2ff00b509d2bda81455b10a.mp3,3,7,3,4,7,7,6,7,5,4,4,6,5,4,7,6,6,5,2,7,,
Unromantic Love,J. V. Cunningham,https://media.poetryfoundation.org/uploads/media/default/0001/06/0879daadcd6fa27ba2ff00b509d2bda81455b10a.mp3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
In Every Life,Alicia Ostriker,https://media.poetryfoundation.org/uploads/media/default/0001/07/868bf928d8d915740250e268db8f0e64b6e106de.mp3,4,7,4,7,4,4,4,5,3,5,2,7,3,2,5,4,7,6,6,7,,
In Every Life,Alicia Ostriker,https://media.poetryfoundation.org/uploads/media/default/0001/07/868bf928d8d915740250e268db8f0e64b6e106de.mp3,8,1,1,3,0,3,1,1,1,3,2,9,9,8,1,8,1,9,1,1,,
In Every Life,Alicia Ostriker,https://media.poetryfoundation.org/uploads/media/default/0001/07/868bf928d8d915740250e268db8f0e64b6e106de.mp3,8,7,4,7,3,6,3,3,4,6,6,6,5,6,7,4,5,8,3,2,,
When I Heard the Learn’d Astronomer,Walt Whitman,https://media.poetryfoundation.org/uploads/media/default/0001/07/2250c6125211bc6e8ff2ca38e275a8216eabb235.mp3,4,5,4,4,3,3,7,4,7,7,5,6,7,5,4,7,6,2,6,5,,
When I Heard the Learn’d Astronomer,Walt Whitman,https://media.poetryfoundation.org/uploads/media/default/0001/07/2250c6125211bc6e8ff2ca38e275a8216eabb235.mp3,0,7,0,0,1,0,2,0,1,0,0,5,6,0,7,0,0,0,0,2,,
When I Heard the Learn’d Astronomer,Walt Whitman,https://media.poetryfoundation.org/uploads/media/default/0001/07/2250c6125211bc6e8ff2ca38e275a8216eabb235.mp3,0,2,0,0,0,1,0,0,0,0,0,8,4,0,2,4,0,0,0,0,,
April Snow,Matthew Zapruder,https://media.poetryfoundation.org/uploads/media/default/0001/08/7d48a5f07edba8a495ec95fcd8b702f776a8c769.mp3,3,7,3,4,7,7,6,7,5,4,4,6,5,4,7,6,6,5,2,7,,
April Snow,Matthew Zapruder,https://media.poetryfoundation.org/uploads/media/default/0001/08/7d48a5f07edba8a495ec95fcd8b702f776a8c769.mp3,6,8,0,8,2,0,5,2,8,6,2,7,5,4,8,0,4,5,8,6,,
April Snow,Matthew Zapruder,https://media.poetryfoundation.org/uploads/media/default/0001/08/7d48a5f07edba8a495ec95fcd8b702f776a8c769.mp3,5,6,5,8,6,8,6,5,7,9,4,9,2,8,8,2,8,0,9,8,,
The History of Mothers of Sons,Lisa Furmanski,https://media.poetryfoundation.org/uploads/media/default/0001/06/6b7b994c530ca2bd2ca8cfa4fb8f0322c6920a82.mp3,10,8,0,8,0,9,0,0,0,0,0,9,9,9,8,8,2,6,0,0,,
The History of Mothers of Sons,Lisa Furmanski,https://media.poetryfoundation.org/uploads/media/default/0001/06/6b7b994c530ca2bd2ca8cfa4fb8f0322c6920a82.mp3,0,8,5,0,8,8,8,8,7,8,6,5,2,0,1,5,8,5,5,8,,
The History of Mothers of Sons,Lisa Furmanski,https://media.poetryfoundation.org/uploads/media/default/0001/06/6b7b994c530ca2bd2ca8cfa4fb8f0322c6920a82.mp3,6,5,4,7,6,6,4,4,2,4,7,3,2,7,4,4,3,5,7,5,,
Written with a Pencil Found in Lorine Niedecker’s Front Yard,David Trinidad,https://media.poetryfoundation.org/uploads/media/default/0001/06/9718bf1ad5749007f794f6ebdaa8cb7be4d4d5b1.mp3,1,4,3,0,0,4,0,0,0,0,0,7,3,0,4,6,0,0,0,0,,
Written with a Pencil Found in Lorine Niedecker’s Front Yard,David Trinidad,https://media.poetryfoundation.org/uploads/media/default/0001/06/9718bf1ad5749007f794f6ebdaa8cb7be4d4d5b1.mp3,4,5,4,4,5,5,7,6,6,4,5,8,6,5,6,7,7,3,4,5,,
Written with a Pencil Found in Lorine Niedecker’s Front Yard,David Trinidad,https://media.poetryfoundation.org/uploads/media/default/0001/06/9718bf1ad5749007f794f6ebdaa8cb7be4d4d5b1.mp3,6,7,8,6,8,8,8,9,7,6,7,6,1,7,1,2,8,4,7,5,,
Mapping the Genome,Michael Symmons Roberts,https://media.poetryfoundation.org/uploads/media/default/0001/05/3f94b613a0868a944289cd4a55692564e1bbc5c7.mp3,5,4,0,3,0,4,1,0,0,4,0,5,7,4,4,6,1,3,2,1,,
Mapping the Genome,Michael Symmons Roberts,https://media.poetryfoundation.org/uploads/media/default/0001/05/3f94b613a0868a944289cd4a55692564e1bbc5c7.mp3,3,7,3,4,7,7,6,7,5,4,4,6,5,4,7,6,6,5,2,7,,
Mapping the Genome,Michael Symmons Roberts,https://media.poetryfoundation.org/uploads/media/default/0001/05/3f94b613a0868a944289cd4a55692564e1bbc5c7.mp3,3,4,1,1,2,2,1,1,1,1,2,3,1,1,1,1,1,1,1,1,,
To My Dear and Loving Husband,Anne Bradstreet,https://media.poetryfoundation.org/uploads/media/default/0001/07/9ff37522c93e3049eed0d6af3ddd321531a2f46d.mp3,6,4,6,5,7,7,4,5,7,3,6,4,7,6,5,4,4,5,4,4,,
To My Dear and Loving Husband,Anne Bradstreet,https://media.poetryfoundation.org/uploads/media/default/0001/07/9ff37522c93e3049eed0d6af3ddd321531a2f46d.mp3,9,8,0,9,0,10,0,0,0,0,0,9,9,10,10,9,0,9,0,0,,
To My Dear and Loving Husband,Anne Bradstreet,https://media.poetryfoundation.org/uploads/media/default/0001/07/9ff37522c93e3049eed0d6af3ddd321531a2f46d.mp3,9,8,1,8,2,7,2,2,1,3,2,6,8,8,8,7,2,8,3,2,,
To the Harbormaster,Frank O'Hara,https://media.poetryfoundation.org/uploads/media/default/0001/08/e8763bf34345a412511ad914149a73828f23acb1.mp3,5,8,3,7,8,2,7,8,7,1,2,8,6,0,8,5,6,5,5,7,,
To the Harbormaster,Frank O'Hara,https://media.poetryfoundation.org/uploads/media/default/0001/08/e8763bf34345a412511ad914149a73828f23acb1.mp3,3,7,3,4,7,7,6,7,5,4,4,6,5,4,7,6,6,5,2,7,,
To the Harbormaster,Frank O'Hara,https://media.poetryfoundation.org/uploads/media/default/0001/08/e8763bf34345a412511ad914149a73828f23acb1.mp3,3,8,0,3,0,3,0,0,0,2,0,8,1,2,3,7,0,1,7,0,,
Requiem for the First Half of Split,Alice Notley,https://media.poetryfoundation.org/uploads/media/default/0001/06/ed9e6c5f1076263dbd5442975aac85b8ba59ddbc.mp3,1,3,1,3,4,4,4,3,2,1,3,3,2,3,3,4,3,2,1,3,,
Requiem for the First Half of Split,Alice Notley,https://media.poetryfoundation.org/uploads/media/default/0001/06/ed9e6c5f1076263dbd5442975aac85b8ba59ddbc.mp3,1,0,0,1,0,0,9,3,8,8,0,8,0,0,0,1,8,0,10,3,,
Requiem for the First Half of Split,Alice Notley,https://media.poetryfoundation.org/uploads/media/default/0001/06/ed9e6c5f1076263dbd5442975aac85b8ba59ddbc.mp3,1,4,1,3,1,1,2,1,1,2,1,5,1,1,1,1,2,1,5,1,,
Sonnet 116: Let me not to the marriage of true minds,William Shakespeare,https://media.poetryfoundation.org/uploads/media/default/0001/08/60c8651d3c0d09ee77ec7d4681bffdda4e2f2b4e.mp3,3,2,6,1,2,1,6,6,8,3,4,4,4,2,3,3,4,1,3,4,,
Sonnet 116: Let me not to the marriage of true minds,William Shakespeare,https://media.poetryfoundation.org/uploads/media/default/0001/08/60c8651d3c0d09ee77ec7d4681bffdda4e2f2b4e.mp3,9,5,0,2,0,9,0,0,0,2,0,8,7,8,7,8,0,7,3,0,,
Sonnet 116: Let me not to the marriage of true minds,William Shakespeare,https://media.poetryfoundation.org/uploads/media/default/0001/08/60c8651d3c0d09ee77ec7d4681bffdda4e2f2b4e.mp3,0,8,2,0,8,7,9,7,8,8,7,6,0,0,0,0,7,6,7,7,,
The Sheets,R. Parthasarathy Read the translator's notes,https://media.poetryfoundation.org/uploads/media/default/0001/05/2678de0a058e48baf22145a88320ab188698d8b4.mp3,3,7,3,4,7,7,6,7,5,4,4,6,5,4,7,6,6,5,2,7,,
The Sheets,R. Parthasarathy Read the translator's notes,https://media.poetryfoundation.org/uploads/media/default/0001/05/2678de0a058e48baf22145a88320ab188698d8b4.mp3,7,8,2,7,2,3,2,3,2,5,3,6,7,5,7,3,2,3,2,3,,
The Sheets,R. Parthasarathy Read the translator's notes,https://media.poetryfoundation.org/uploads/media/default/0001/05/2678de0a058e48baf22145a88320ab188698d8b4.mp3,8,3,0,8,0,5,1,0,0,1,0,6,4,8,5,5,2,8,1,2,,
Mazed Interior,Andrew Joron,https://media.poetryfoundation.org/uploads/media/default/0001/07/1ba60b1b721ecb9a4f8e89c336fd8961b33941c0.mp3,3,7,3,4,7,7,6,7,5,4,4,6,5,4,7,6,6,5,2,7,,
Mazed Interior,Andrew Joron,https://media.poetryfoundation.org/uploads/media/default/0001/07/1ba60b1b721ecb9a4f8e89c336fd8961b33941c0.mp3,0,1,2,0,7,0,7,7,7,8,7,2,1,0,0,2,8,0,7,8,,
Mazed Interior,Andrew Joron,https://media.poetryfoundation.org/uploads/media/default/0001/07/1ba60b1b721ecb9a4f8e89c336fd8961b33941c0.mp3,6,8,0,4,0,5,0,0,0,0,0,8,7,8,7,6,0,7,1,0,,
April,Alicia Ostriker,https://media.poetryfoundation.org/uploads/media/default/0001/07/1ad8163ef9c59d47dd247ab1f49d6ba222fd3a15.mp3,5,2,4,4,3,3,2,1,0,1,3,2,2,8,2,2,2,4,2,2,,
April,Alicia Ostriker,https://media.poetryfoundation.org/uploads/media/default/0001/07/1ad8163ef9c59d47dd247ab1f49d6ba222fd3a15.mp3,4,1,4,1,2,2,3,4,3,3,3,1,3,3,4,3,1,3,2,1,,
April,Alicia Ostriker,https://media.poetryfoundation.org/uploads/media/default/0001/07/1ad8163ef9c59d47dd247ab1f49d6ba222fd3a15.mp3,5,7,1,2,4,6,2,5,1,4,1,6,7,5,5,6,3,6,1,4,,
To Judgment: An Assay,Jane Hirshfield,https://media.poetryfoundation.org/uploads/media/default/0001/06/91a852e7b53f17994c1742e115214cf511512731.mp3,3,1,3,3,4,4,1,3,3,2,2,3,3,2,3,1,3,4,1,1,,
To Judgment: An Assay,Jane Hirshfield,https://media.poetryfoundation.org/uploads/media/default/0001/06/91a852e7b53f17994c1742e115214cf511512731.mp3,1,4,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,,
To Judgment: An Assay,Jane Hirshfield,https://media.poetryfoundation.org/uploads/media/default/0001/06/91a852e7b53f17994c1742e115214cf511512731.mp3,7,8,2,6,1,6,4,2,4,4,2,8,6,7,6,3,7,3,6,8,,
The Pieces That Fall to Earth,Kay Ryan,https://media.poetryfoundation.org/uploads/media/default/0001/06/71d881634054c11f165faa94e5e460c5b6d6b370.mp3,7,8,0,7,6,1,3,3,2,3,2,6,6,5,7,6,2,6,2,2,,
The Pieces That Fall to Earth,Kay Ryan,https://media.poetryfoundation.org/uploads/media/default/0001/06/71d881634054c11f165faa94e5e460c5b6d6b370.mp3,3,7,3,4,7,7,6,7,5,4,4,6,5,4,7,6,6,5,2,7,,
The Pieces That Fall to Earth,Kay Ryan,https://media.poetryfoundation.org/uploads/media/default/0001/06/71d881634054c11f165faa94e5e460c5b6d6b370.mp3,8,6,2,7,0,6,0,0,0,1,0,8,5,8,4,5,1,3,1,0,,
Family,Josephine Miles,https://media.poetryfoundation.org/uploads/media/default/0001/06/694abf875f8fe251f1260c7b5f4290bdda4ff03d.mp3,1,3,1,3,1,1,1,1,2,1,1,6,1,1,1,1,1,1,1,1,,
Family,Josephine Miles,https://media.poetryfoundation.org/uploads/media/default/0001/06/694abf875f8fe251f1260c7b5f4290bdda4ff03d.mp3,0,2,6,0,8,3,7,6,6,9,7,3,3,0,7,4,9,0,9,8,,
Family,Josephine Miles,https://media.poetryfoundation.org/uploads/media/default/0001/06/694abf875f8fe251f1260c7b5f4290bdda4ff03d.mp3,2,7,2,6,5,5,7,3,4,6,4,5,4,4,3,7,5,4,7,7,,
Clear Night,Charles Wright,https://media.poetryfoundation.org/uploads/media/default/0001/06/4e45bec05af841d7bb76a0215c6fb84da78809ec.mp3,6,8,3,6,2,7,7,1,6,7,4,6,6,3,8,6,7,8,5,6,,
Clear Night,Charles Wright,https://media.poetryfoundation.org/uploads/media/default/0001/06/4e45bec05af841d7bb76a0215c6fb84da78809ec.mp3,4,9,0,0,0,6,0,0,0,0,0,9,10,8,7,9,0,4,0,0,,
